text
Girls drop out of school at a higher rate which can be largely attributed to the intersection of poverty and gender norms involving issues such as transactional sex early marriage and the burden of having to perform a disproportionate share of household chores.
UNICEF has been providing technical and financial support to address the educational needs of vulnerable out-of-school children through a community-based school enrolment drive provision of school materials such as uniforms bags shoes and learning materials.
Completion rates stand at primary 64 per cent lower secondary 44 per cent and upper secondary 22 per cent highlighting significant barriers to progression through the education system.
In August 2018 the Government of Sierra Leone launched a Free Quality School Education initiative that provides free admission and tuition to all children in government approved schools to address the financial barriers families face.
Girls from poor rural families are most likely to be married before the age of 18 with factors including adherence to tradition a limited range of life options and lower educational opportunities contributing to this harmful practice.
High levels of sexual violence prevent girls from attending schools and early childbearing by school age girls leads to school dropout creating a cycle of disadvantage.
Many children are still out of school at risk of dropping out or not benefiting from the free education initiative as they live in remote rural communities where the distance to school is a significant barrier.
Girls children with disabilities and those from poor or rural communities face the greatest barriers to access and achievement in education despite remarkable strides in education reform.
Many schools remain physically inaccessible and a lack of gender friendly sanitation facilities and menstrual hygiene support keeps many adolescent girls out of class.
UNICEF works with communities to develop systems which promote the knowledge and skills of girls to make positive decisions and empower them with the life skills they need to take control of their futures.
Outcomes for women and girls consistently lag owing to legal social institutional cultural and other structural inequalities and gender norms with early marriage teenage pregnancy and female genital mutilation among the key barriers.
The strategy outlines key actions and programme interventions to address the barriers faced by children including working with families and communities to empower and equip girls with life skills.
Girls with disabilities are at particular risk and specific targeted action needs to be taken to ensure they can access learning programmes tailored to their specific needs and that they return to school.
UNICEF advocates with government partners to implement targeted programmes to ensure that all girls facing multiple barriers are able to return to school after disruption.
The programme will provide opportunities for adolescent girls to build 21st century skills for employment in the labour market and enable them to contribute meaningfully to their wider communities.
Poverty and orphanhood are significant social and economic barriers to girls education in Sierra Leone with many vulnerable girls lacking the financial support needed to remain in school.
Food insecurity affects pupils attendance and is one of the main causes of poor educational performance in Sierra Leone alongside inadequate teacher preparation and unclear learning outcome expectations.
Early enrolment and quality early childhood education are critical to ensuring girls are prepared for school and able to complete their education without dropping out due to unpreparedness.
UNICEF works with the government to provide access to education and marketable skills for out of school children combining enrolment support with skills development to improve long term outcomes.
Addressing the issues of out of school children requires a comprehensive national strategy that reaches all categories of vulnerable children including adolescent girls affected by poverty gender norms and distance from school.
